                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70146,                 2.2921,                 1.1808,                0.95819,                0.28086,                0.80779,                0.61129,                0.54954,                 2.3347,                0.98872,             0.00054889,             0.00054889,             0.00054889
                      2,                0.74847,                 1.5163,                 1.1718,                0.57694,                0.45824,                0.55741,                 0.4038,                0.84439,                 2.0579,                 1.2631,              0.0010608,              0.0010608,              0.0010608
                      3,                0.77454,                  1.323,                 1.1911,                0.60657,                0.56596,                0.64043,                0.44985,                 1.1705,                 2.0257,                 1.6444,              0.0015287,              0.0015287,              0.0015287
                      4,                0.73439,                 1.0988,                 1.1444,                0.78053,                0.80623,                0.87799,                0.68876,                0.76373,                0.97851,                 1.1695,               0.001469,               0.001469,               0.001469
                      5,                0.70556,                0.99595,                 1.1393,                0.74026,                0.83429,                0.87746,                0.70068,                0.73108,                0.89411,                 1.1075,              0.0014029,              0.0014029,              0.0014029
                      6,                0.66106,                0.86723,                 1.1037,                0.87512,                0.79575,                0.88972,                0.73628,                0.61912,                0.77804,                 1.0472,              0.0013369,              0.0013369,              0.0013369
                      7,                0.64819,                0.80804,                 1.0925,                0.93361,                 0.8803,                0.95627,                0.83953,                 0.5062,                0.55384,                0.92456,              0.0012709,              0.0012709,              0.0012709
                      8,                0.59934,                0.74773,                 1.0808,                0.72543,                0.82525,                0.83617,                0.73434,                0.49984,                0.91309,                0.94806,              0.0012049,              0.0012049,              0.0012049
                      9,                0.57889,                0.69028,                 1.0701,                0.93193,                0.89865,                0.95653,                0.84248,                0.43683,                0.49657,                0.91617,              0.0011389,              0.0011389,              0.0011389
                     10,                0.57081,                0.66295,                 1.0607,                0.88279,                0.89539,                0.94073,                0.81303,                0.53128,                0.61095,                0.94571,              0.0010729,              0.0010729,              0.0010729
                     11,                 0.5449,                0.63424,                 1.0454,                0.88332,                0.96253,                0.97531,                0.88293,                0.41904,                0.41059,                0.86664,              0.0010069,              0.0010069,              0.0010069
                     12,                0.51688,                0.58844,                 1.0347,                0.95096,                0.92506,                0.97746,                0.87918,                0.42363,                0.41136,                0.87082,             0.00094085,             0.00094085,             0.00094085
                     13,                0.51009,                0.57041,                 1.0266,                0.91345,                0.89139,                0.95893,                0.89989,                0.35744,                0.41452,                 0.8337,             0.00087484,             0.00087484,             0.00087484
                     14,                0.48252,                0.51795,                 1.0199,                0.90225,                 0.9059,                  0.968,                0.91401,                 0.3515,                0.45432,                0.82618,             0.00080883,             0.00080883,             0.00080883
                     15,                0.49141,                0.52038,                 1.0195,                0.95976,                0.92947,                0.97804,                0.91088,                0.38635,                0.36476,                0.84234,             0.00074282,             0.00074282,             0.00074282
                     16,                0.36167,                0.36439,                0.96142,                0.95895,                0.93446,                0.98121,                 0.9066,                0.34238,                0.34941,                0.80839,              0.0006768,              0.0006768,              0.0006768
                     17,                0.35669,                0.32619,                0.96759,                0.96011,                 0.9645,                0.98516,                0.93162,                0.30835,                0.29835,                0.78983,             0.00061079,             0.00061079,             0.00061079
                     18,                0.31099,                 0.2835,                0.92272,                0.94593,                 0.9314,                0.98288,                0.92277,                0.32572,                 0.3296,                0.81145,             0.00054478,             0.00054478,             0.00054478
                     19,                0.31031,                0.27597,                0.92462,                0.98314,                0.96498,                0.98733,                0.94278,                0.30571,                0.26829,                0.78744,             0.00047876,             0.00047876,             0.00047876
                     20,                0.29616,                0.26662,                0.91901,                0.95437,                0.97891,                0.98747,                0.94652,                0.27177,                0.26473,                0.76133,             0.00041275,             0.00041275,             0.00041275
                     21,                0.26663,                0.23865,                 0.9024,                0.96226,                0.96855,                0.99097,                0.95365,                0.26968,                0.25907,                0.75702,             0.00034674,             0.00034674,             0.00034674
                     22,                 0.2525,                0.22324,                 0.8997,                0.98294,                0.96575,                0.99306,                0.95585,                0.24859,                0.24161,                0.74827,             0.00028072,             0.00028072,             0.00028072
                     23,                0.24485,                0.21373,                0.88482,                0.96947,                0.96498,                0.99023,                0.95431,                0.24776,                0.23144,                0.74618,             0.00021471,             0.00021471,             0.00021471
                     24,                0.23193,                0.20284,                0.88673,                0.96733,                 0.9639,                0.99087,                0.95449,                0.25701,                0.25307,                0.75558,              0.0001487,              0.0001487,              0.0001487
                     25,                0.22277,                0.20017,                0.88282,                0.94961,                0.98212,                0.99183,                0.95957,                0.25495,                0.23371,                0.75626,             8.2683e-05,             8.2683e-05,             8.2683e-05
